City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Ranong,TH,9.9658,98.6348,78.1,87,91,3.83,overcast clouds
168,Lerwick,GB,60.1545,-1.1494,46.4,89,50,13.51,scattered clouds
169,Santa Isabel,BR,-23.3156,-46.2214,77.76,63,35,5.99,scattered clouds
170,Zhangjiakou,CN,40.81,114.8794,30.7,96,93,0.22,overcast clouds
171,Tangjiazhuang,CN,39.7333,118.45,37.45,62,66,6.29,broken clouds
172,Aswan,EG,24.0934,32.907,67.69,24,5,15.7,clear sky
173,Tura,IN,25.5198,90.2201,76.15,36,15,3.18,few clouds
174,Deputatskiy,RU,69.3,139.9,-4.76,98,100,4.21,overcast clouds
175,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,11.5,clear sky
176,Itarema,BR,-2.9248,-39.9167,83.44,73,85,11.34,overcast clouds
177,Burns Lake,CA,54.2331,-125.7533,40.42,93,100,8.1,overcast clouds
178,Goundam,ML,16.4145,-3.6708,92.57,8,14,9.75,few clouds
179,Pinsk,BY,52.1229,26.0951,47.3,58,0,4.29,clear sky
180,Balsta,SE,59.5671,17.5278,46.33,68,2,8.21,clear sky
181,San Patricio,US,28.017,-97.5169,78.89,29,5,19.24,clear sky
182,Hunchun,CN,42.8675,130.3581,31.15,74,84,1.07,broken clouds
183,Zhangye,CN,38.9342,100.4517,45.07,31,44,4.47,scattered clouds
184,West Bay,KY,19.3667,-81.4167,82.47,69,75,9.22,broken clouds
185,Ishigaki,JP,24.3448,124.1572,69.93,100,75,12.66,broken clouds
186,Kuusamo,FI,65.9667,29.1833,35.64,75,0,9.22,clear sky
187,Faanui,PF,-16.4833,-151.75,81.01,73,59,10.27,broken clouds
188,Hobyo,SO,5.3505,48.5268,79.38,75,8,11.54,clear sky
189,Mattru,SL,7.6244,-11.8332,86.76,54,85,9.78,overcast clouds
190,Chalchihuites,MX,23.4833,-103.8833,70.09,7,75,21.16,broken clouds
191,Mehamn,NO,71.0357,27.8492,31.91,93,100,19.57,light shower snow
192,Atar,MR,20.5169,-13.0499,93.88,6,0,12.95,clear sky
